Anser serrirostris,Ara tricolor
,Extinct
Greater White-fronted Goose,Puerto Rican Parakeet
Anser albifrons,Psittacara maugei
,Extinct
Lesser White-fronted Goose,Mascarene Parrot
Anser erythropus,Mascarinus mascarinus
,Extinct
Coscoroba Swan,Seychelles Parakeet
Coscoroba coscoroba,Psittacula wardi
,Extinct
Black Swan,Newton's Parakeet
Cygnus atratus,Psittacula exsul
,Extinct
Black-necked Swan,Mascarene Grey Parakeet
Cygnus melancoryphus,Psittacula bensoni
,Extinct
Mute Swan,Paradise Parrot
Cygnus olor,Psephotellus pulcherrimus
,Extinct
Trumpeter Swan,Black-fronted Parakeet
Cygnus buccinator,Cyanoramphus zealandicus
,Extinct
Tundra Swan,Raiatea Parakeet
Cygnus columbianus,Cyanoramphus ulietanus
,Extinct
Whooper Swan,Lord Howe Parakeet
Cygnus cygnus,Cyanoramphus subflavescens
,Extinct
Freckled Duck,Macquarie Parakeet
Stictonetta naevosa,Cyanoramphus erythrotis
,Extinct
Blue Duck,New Caledonian Lorikeet
Hymenolaimus malacorhynchos,Vini diadema
,Extinct
Flying Steamer Duck,Broad-billed Parrot
Tachyeres patachonicus,Lophopsittacus mauritianus
,Extinct
Fuegian Steamer Duck,Rodrigues Parrot
Tachyeres pteneres,Necropsittacus rodricanus
,Extinct
Falkland Steamer Duck,Bushwren
Tachyeres brachypterus,Xenicus longipes
,Extinct
Chubut Steamer Duck,Lyall's Wren
Tachyeres leucocephalus,Traversia lyalli
,Extinct
Torrent Duck,San Cristobal Flycatcher
Merganetta armata,Pyrocephalus dubius
,Extinct
Spur-winged Goose,Chatham Bellbird
Plectropterus gambensis,Anthornis melanocephala
,Extinct
Comb Duck,Lord Howe Gerygone
Sarkidiornis sylvicola,Gerygone insularis
,Extinct
Knob-billed Duck,South Island Kokako
Sarkidiornis melanotos,Callaeas cinereus
,Extinct
Blue-winged Goose,Huia
Cyanochen cyanoptera,Heteralocha acutirostris
,Extinct
Egyptian Goose,North Island Piopio
Alopochen aegyptiaca,Turnagra tanagra
,Extinct
Mauritius Sheldgoose,South Island Piopio
Alopochen mauritiana,Turnagra capensis
Extinct,Extinct
Reunion Sheldgoose,Maupiti Monarch
Alopochen kervazoi,Pomarea maupitiensis
Extinct,Extinct
Orinoco Goose,Nuku Hiva Monarch
Neochen jubata,Pomarea nukuhivae
,Extinct
Andean Goose,Eiao Monarch
Chloephaga melanoptera,Pomarea fluxa
,Extinct
Upland Goose,Guam Flycatcher
Chloephaga picta,Myiagra freycineti
,Extinct
Kelp Goose,Kioea
Chloephaga hybrida,Chaetoptila angustipluma
,Extinct
Ashy-headed Goose,Kauai Oo
Chloephaga poliocephala,Moho braccatus
,Extinct
Ruddy-headed Goose,Oahu Oo
Chloephaga rubidiceps,Moho apicalis
,Extinct
Raja Shelduck,Bishop's Oo
Radjah radjah,Moho bishopi
,Extinct
Common Shelduck,Hawaii Oo
Tadorna tadorna,Moho nobilis
,Extinct
Ruddy Shelduck,Aldabra Brush Warbler
Tadorna ferruginea,Nesillas aldabrana
,Extinct
South African Shelduck,Nightingale Reed Warbler
Tadorna cana,Acrocephalus luscinius
,Extinct
Australian Shelduck,Aguiguan Reed Warbler
Tadorna tadornoides,Acrocephalus nijoi
,Extinct
Paradise Shelduck,Pagan Reed Warbler
Tadorna variegata,Acrocephalus yamashinae
,Extinct
